,Comment,AuthorDisplayName,AuthorProfileImageUrl,AuthorChannelUrl,AuthorChannelID,ReplyCount,LikeCount,PublishedAt,UpdatedAt,CommentID,ParentID,VideoID
1,this won a grammy...,Julian Garibay,https://yt3.ggpht.com/ytc/AAUvwnh8UUJnviXFSbibE9gqW9HDgvkhdv8IWwRvnQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCwAdvNONuXSLsZnhABa1mxg,UCwAdvNONuXSLsZnhABa1mxg,0,0,2021-03-22T01:31:04Z,2021-03-22T01:31:04Z,UgybUvWmm9_kcIliuLx4AaABAg,NA,lEIqjoO0-Bs
2,On the video’s  y’all always don’t like a  video just stop,Larhonda Crummedy,https://yt3.ggpht.com/ytc/AAUvwni-loAtTqATjg2g7Nbq83H5N0WMkwPpnHOHGw=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCNT_q3pOUkmH7OlOR-JU9qw,UCNT_q3pOUkmH7OlOR-JU9qw,0,0,2021-03-22T01:04:26Z,2021-03-22T01:04:26Z,UgzbjZSVDQTmIJxNTLx4AaABAg,NA,lEIqjoO0-Bs
3,Searching for lyrics on comments? Like 🤣,Weiller Carlos Chaves,https://yt3.ggpht.com/ytc/AAUvwnhM4WCBRwNCTTeViFB8gLsKvA45qd_geYtUW6C6Dw=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCufYSFuG3EI5SfpAjukX0Jg,UCufYSFuG3EI5SfpAjukX0Jg,0,0,2021-03-22T00:44:08Z,2021-03-22T00:44:08Z,UgwBMaxyfIiPL5Ql9WF4AaABAg,NA,lEIqjoO0-Bs
4,"IDOL

Song by BTS

Overview

Lyrics

Listen

People also search for

Lyrics

You can call me artist (artist)
You can call me idol (idol)
아님 어떤 다른 (다른) 뭐라 해도 I don't care
I don't care
I'm proud of it (proud of it)
난 자유롭네 (자유롭네)
No more irony (irony)
나는 항상 나였기에

손가락질 해 (yeah yeah yeah yeah), 나는 전혀 신경 쓰지 않네
나를 욕하는 너의 그 이유가 뭐든 간에
I know what I am (I know what I am)
I know what I want (I know what I want)
I never gon' change (I never gon' change)
I never gon' trade
(Trade off)

뭘 어쩌고 저쩌고 떠들어대셔
Talkin', talkin', talkin'
I do what I do, 그니까 넌 너나 잘하셔
Damn it
You can't stop me lovin' myself

Hoo, hoo
얼쑤 좋다
You can't stop me lovin' myself
Hoo, hoo
지화자 좋다
You can't stop me lovin' myself

Oh oh ooh oh
Oh oh ooh oh oh oh
Oh oh ooh oh
덩기덕 쿵더러러 얼쑤
Oh oh ooh oh
Oh oh ooh oh oh oh
Oh oh ooh oh
덩기덕 쿵더러러 얼쑤

Face off 마치 오우삼, ay
Top star with that spotlight, ay
때론 Superhero 돼
돌려대 너의 Anpanman
Wow 24시간이 적지
헷갈림, 내겐 사치
Ho! I do my thang (I do my thang)
I love myself

I love myself (I love myself), I love my fans
Love my dance and my what
내 속안엔 (내 속안엔) 몇 십 몇 백명의 내가 있어
오늘 또 다른 날 맞이해 (맞이해)
어차피 전부 다 나이기에 (나이기에)
고민보다는 걍 달리네 (달리네)
Runnin' man
Runnin' man
Runnin' man, bluh

뭘 어쩌고 저쩌고 떠들어대셔
Talkin', talkin', talkin'
I do what I do, 그니까 넌 너나 잘하셔
Damn it

You can't stop me lovin' myself

Hoo, hoo
얼쑤 좋다
You can't stop me lovin' myself
Hoo, hoo
지화자 좋다
You can't stop me lovin' myself

Oh oh ooh oh
Oh oh ooh oh oh oh
Oh oh ooh oh
덩기덕 쿵더러러 얼쑤
Oh oh ooh oh
Oh oh ooh oh oh oh
Oh oh ooh oh
덩기덕 쿵더러러 얼쑤

I'm so fine wherever I go
가끔 멀리 돌아가도 (oh)
It's okay, I'm in love with my-my myself
It's okay, 난 이 순간 행복해 ah

Hoo, hoo
얼쑤 좋다
You can't stop me lovin' myself
Hoo, hoo
지화자 좋다
You can't stop me lovin' myself

Oh oh ooh oh
Oh oh ooh oh oh oh
Oh oh ooh oh
덩기덕 쿵더러러 얼쑤
Oh oh ooh oh
Oh oh ooh oh oh oh
Oh oh ooh oh
덩기덕 쿵더러러 얼쑤

Show in Roman characters

Translate to English

Source: LyricFind

Songwriters: Ho Weon Kang / Si Hyuk Bang / Dong Hyuk Shin / Ali Tamposi / Roman Campolo / Nam Jun Kim

IDOL lyrics © Sony/ATV Music Publishing LLC, Kobalt Music Publishing Ltd.

Show less

￼genius.com › Genius-romanizations-...

Genius Romanizations – BTS - IDOL (Romanized) Lyrics | Genius Lyrics

24 Aug 2018 — BTS - IDOL (Romanized) Lyrics. [방탄소년단의 IDOL 가사] [Verse 1: RM, J-Hope] You can call me artist ...

￼www.azlyrics.com › B › BTS Lyrics

BTS - IDOL Lyrics | AZLyrics.com

BTS Lyrics. ""IDOL"". [Romanized:] You can call me artist (artist) You can call me idol (idol) Anim eotteon dareun mwora haedo. I don't care. I'm proud of it. Nan jayurobne. No more irony. Naneun hangsang nayeossgie

￼www.capitalfm.com › artists › bts

BTS' 'IDOL': What Are The Lyrics In English? - Capital

27 Sept 2018 — Have you ever wanted to sing along to BTS' bop, 'IDOL', but didn't know the lyrics? Well, worry know more, as we have them right here... BTS - who are also known as the Bangtan Boys - are ...

Videos

YouTube · Jaeguchi

￼

3:42

BTS (방탄소년단) - IDOL (Color Coded Lyrics Eng/Rom/Han/가사)

24 Aug 2018

YouTube · Big Hit Labels

￼

3:52

BTS (방탄소년단) 'IDOL' Official MV

24 Aug 2018

YouTube · rexolyrics

￼

3:41

BTS - IDOL Lyrics (Han|Rom|Eng) Color Coded

26 Aug 2018

YouTube · Taz Network

￼

4:21

BTS (방탄소년단) ‒ IDOL (Lyrics) ft. Nicki Minaj

26 Aug 2018

YouTube · nevertheless3

￼

3:41

BTS (방탄소년단) - IDOL Color Coded Lyrics

28 Sept 2020

YouTube · Lemoring

￼

3:40

BTS IDOL Lyrics (방탄소년단 IDOL 가사) [Color Coded Lyrics/Han/Rom/Eng]

4 Sept 2020

YouTube · Lyrical World

￼

3:38

BTS - IDOL [English | Romanized Lyrics]

31 Aug 2018

YouTube · Zaty Farhani

￼

4:39

BTS - 'IDOL' (feat. Nicki Minaj) Lyrics [Color Coded_Han_Rom_Eng]

6 Jan 2021

YouTube · darkness

￼

3:43

BTS (방탄소년단) 'IDOL' Easy Lyrics

24 Aug 2018

YouTube · • m i n a m o c h i •

￼

3:40

BTS (방탄소년단) - IDOL Lyrics [Color Coded Han_Rom_Eng]

25 Aug 2018

￼colorcodedlyrics.com › 2018/08 › b...

Web results

BTS (방탄소년단) – IDOL Lyrics » Color Coded Lyrics | Lyrics at CCL

24 Aug 2018 — BTS (방탄소년단) – IDOL Lyrics KOREAN Romanization, Korean, Translation. Color coded Lyrics.

￼www.lyricsfreak.com › bts › idol_2...

BTS - IDOL lyrics | LyricsFreak

More lyrics. [Verse 1] [RM] they call me artist they call me idol anim eotteon dareun mweora haedo. I don't care [J-Hope] I'm proud of it nan jayuromne. No more irony naneun hangsang nayeotgie [Suga] songarakjil hae

￼www.wattpad.com › 622592583-bts...

BTS Lyrics - BTS - IDOL - Wattpad

Read BTS - IDOL from the story BTS Lyrics by gmzbae with 12797 reads. idol, jin, romanization. Rom [Verse 1: RM, J-Hope]You can call me artist (artist)You ca...

Images

Guided Search Filters

coded lyrics

bts 방탄

방탄소년단

color coded

jungkook

redbubble

iyuga mwodeun

jeonhyeo singyeong

han rom

song lyrics",Tobias James-Dryland,https://yt3.ggpht.com/ytc/AAUvwngi2HW0qE-EcC9x_PKsskXUZ2KNc_quVdVf8A=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCxAPmCyzO2MSV0PnQ5DDugw,UCxAPmCyzO2MSV0PnQ5DDugw,1,1,2021-03-21T19:47:40Z,2021-03-21T19:47:40Z,UgwougZVtm4vOdmSoCl4AaABAg,NA,lEIqjoO0-Bs
5,❤️❤️❤️,Elizabete ferreira,https://yt3.ggpht.com/ytc/AAUvwngNjZB_o0dEN23Y1QFpqjb7Rkfa5TRxAoWW6A=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCeqHOaimOSnPyumcu9eTrVw,UCeqHOaimOSnPyumcu9eTrVw,0,1,2021-03-21T19:11:08Z,2021-03-21T19:11:08Z,UgwKMOaKfBW7DFWK6H94AaABAg,NA,lEIqjoO0-Bs
6,Me and my mom like that 🎤,Kiara Jamison,https://yt3.ggpht.com/ytc/AAUvwngy_2pvQd59LE7SDdPxmwtqWVhuebbl3OV4tQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC8z-ZwFmFVLZyH1Pz7dKFEQ,UC8z-ZwFmFVLZyH1Pz7dKFEQ,0,1,2021-03-21T18:57:53Z,2021-03-21T18:57:53Z,UgwMl7RirMhjDMa0Zs94AaABAg,NA,lEIqjoO0-Bs
7,I love it,sabrina stewart,https://yt3.ggpht.com/ytc/AAUvwniAGelU8kyme8_CA-f0-kAE8th08iqZfvc4eA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC_hLucLW6gPscTI3vZdn3Rw,UC_hLucLW6gPscTI3vZdn3Rw,0,1,2021-03-21T13:00:46Z,2021-03-21T13:00:46Z,UgwvCAvYK6lxIfmHuvx4AaABAg,NA,lEIqjoO0-Bs
8,cant believe this won best rap song for the grammies who the fuck listens to this shit,Thomas Lynch,https://yt3.ggpht.com/ytc/AAUvwnhRISqda2WwiRwgCbb4y975EmUOtonYr68QFmz49w=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCHqE5iAp1R6HbeUNbhMIFlQ,UCHqE5iAp1R6HbeUNbhMIFlQ,1,0,2021-03-21T09:02:41Z,2021-03-21T09:02:41Z,Ugzg8Glr7LtPVCgwS7F4AaABAg,NA,lEIqjoO0-Bs
9,"Producers : how many times do you wanna say 'ok'
Queen bey : yes",Swiftie Arianator Katycat,https://yt3.ggpht.com/ytc/AAUvwnhCvo3xDPkRRMZ4fRz5eEUR8lKPTtl0Y5O2DAaf=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCKt4Y2S8QRszBxtWY0vdyvQ,UCKt4Y2S8QRszBxtWY0vdyvQ,0,3,2021-03-21T05:30:03Z,2021-03-21T05:30:03Z,UgwKpXAZMhnUOJ48sdZ4AaABAg,NA,lEIqjoO0-Bs
10,This won over The Bigger Picture. That’s some bullshit,_ BeanBoi _,https://yt3.ggpht.com/ytc/AAUvwnijjlPATVHQFQ-kItKlrMXl3bVvZZjswhPXbbrK=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCfkKYrbVthjxEwIS1_nWqOA,UCfkKYrbVthjxEwIS1_nWqOA,0,1,2021-03-21T04:30:54Z,2021-03-21T04:30:54Z,Ugz88VatDZZGw0Zexph4AaABAg,NA,lEIqjoO0-Bs